name,rating,cuisines,address,cost_for_two,timings,link
Uzbekk,3.9,", , View Gallery",,₹350 for two people (approx.),"Uzbekk
3.9
6
Dining Ratings
3.7
771
Delivery Ratings
Fast Food, Rolls, Burger, North Indian, Kebab
Vanshi Ka Pura, Guda Gudi Ka Naka Kampoo, Madhav Ganj, Gwalior
Closes in 1 hour 45 minutes
1pm – 11pm (Today)
₹350 for two
+917514074141",https://www.zomato.com/gwalior/uzbekk-madhav-ganj/info
Shri Banke Bihari,3.4,", , View Gallery",,₹250 for two people (approx.),"Shri Banke Bihari
3.4
26
Dining Ratings
4.3
759
Delivery Ratings
Juices, Beverages
Near Station Bajariya, Thatipur, Gwalior
Open now
12midnight – 12:30am, 7:30am – 11:45pm (Today)
₹250 for two
+917223925300
+1 more",https://www.zomato.com/gwalior/shri-banke-bihari-thatipur/info
Safari Ice Cream,3.5,", , ₹100 for two people (approx.)",,₹100 for two people (approx.),"Safari Ice Cream
3.5
5
Dining Ratings
3.6
405
Delivery Ratings
Ice Cream
Shop 3, Station Road, City Center, Gwalior
Open now
12midnight – 12:45am, 12noon – 12midnight (Today)
₹100 for two
+919826761543",https://www.zomato.com/gwalior/safari-ice-cream-city-center/info
The Treat Fast Food,3.8,", , View Gallery",,₹300 for two people (approx.),"The Treat Fast Food
3.8
33
Dining Ratings
4.1
991
Delivery Ratings
Fast Food, Chinese, South Indian, North Indian, Beverages
Opposite Janakganj School, Hanuman Chauraha, Lashkar, Gwalior
Closes in 1 hour 45 minutes
11:30am – 11pm (Today)
₹300 for two
+919669259246
+1 more",https://www.zomato.com/gwalior/the-treat-fast-food-lashkar/info
Hotel Celebration Inn,3.7,", , View Gallery",,₹700 for two people (approx.),"Hotel Celebration Inn
3.7
8
Dining Ratings
4.0
126
Delivery Ratings
North Indian, Chinese, Fast Food, Beverages, Shake
Gandhi Road, Opposite Shastri Nagar Gate, Thatipur, Gwalior
Closes in 1 hour 45 minutes
11am – 11pm (Today)
₹700 for two
+917514925566
+1 more",https://www.zomato.com/gwalior/hotel-celebration-inn-thatipur/info
Bake Bihari Juice Centre,3.5,", , View Gallery",,₹200 for two people (approx.),"Bake Bihari Juice Centre
3.5
7
Dining Ratings
4.0
12
Delivery Ratings
Beverages, Shake, Juices, Ice Cream
Shop 59, Near Station Bazariya, City Center, Gwalior
Closes in 1 hour 45 minutes
7am – 11pm (Today)
₹200 for two
+917223925300",https://www.zomato.com/gwalior/bake-bihari-juice-centre-city-center/info
The Roasted Life Cafe,3.8,", , View Gallery",,₹300 for two people (approx.),"The Roasted Life Cafe
3.8
18
Dining Ratings
4.0
90
Delivery Ratings
Chinese, Sandwich, Pizza, Pasta, Fast Food, Street Food, Shake, Beverages
Vaishya & Mukherjee Petrol Pump, New Collectorate City Centre, Model Town, Gwalior
Closes in 1 hour 14 minutes
3:30pm – 10:30pm (Today)
₹300 for two
+918463014682",https://www.zomato.com/gwalior/the-roasted-life-cafe-model-town/info
Best Bakers,3.9,", , View Gallery",,₹200 for two people (approx.),"Best Bakers
3.9
18
Dining Ratings
-
0
Delivery Ratings
Bakery, Desserts
Nawab Sahab Ka Kuan, Shinde Ki Chhawani, Gwalior
Closes in 1 hour 44 minutes
11am – 11pm (Today)
₹200 for two
+919300407374",https://www.zomato.com/gwalior/best-bakers-shinde-ki-chhawani/info
Real Momos Taste Of Bhutan,3.3,", , View Gallery",,₹200 for two people (approx.),"Real Momos Taste Of Bhutan
3.3
5
Dining Ratings
3.8
691
Delivery Ratings
Momos, Sandwich
Shop G-14/21, MK City Square, Sirol Road, Gulmohar City, Gwalior
Open now
7am – 11:45pm (Today)
₹200 for two
+917006139099",https://www.zomato.com/gwalior/real-momos-taste-of-bhutan-gulmohar-city/info
Mayur Restaurant,3.6,", , View Gallery",,₹500 for two people (approx.),"Mayur Restaurant
3.6
11
Dining Ratings
4.2
759
Delivery Ratings
North Indian, Fast Food, Chinese, Beverages, Shake
Khandelwal Bhawan, Station Road, Padao, Lashkar, Gwalior
Closes in 1 hour 44 minutes
7am – 11pm (Today)
₹500 for two
+918989472914",https://www.zomato.com/gwalior/mayur-restaurant-lashkar/info
Jain Choice Family Restaurant,3.9,", , View Gallery",,₹300 for two people (approx.),"Jain Choice Family Restaurant
3.9
60
Dining Ratings
3.2
2,329
Delivery Ratings
North Indian, Chinese, South Indian, Fast Food
Mahadji Park, Madhavrao Scindia Marg, Achleswar Road, Vijaynagar, Gwalior
Closes in 1 hour 44 minutes
11:30am – 11pm (Today)
₹300 for two
+919098165785",https://www.zomato.com/gwalior/jain-choice-family-restaurant-vijaynagar/info
Chops N Hops,3.7,", , View Gallery",,₹500 for two people (approx.),"Chops N Hops
3.7
9
Dining Ratings
4.0
63
Delivery Ratings
North Indian, Mughlai, Chinese, Fast Food, Street Food, Biryani, Beverages, Desserts
Plot 1588, Near Milenium Plaza, Saraswati Nagar, City Centre, City Center, Gwalior
Open now
12:15pm – 11:45pm (Today)
₹500 for two
+918602896986",https://www.zomato.com/gwalior/chops-n-hops-9-city-center/info
Dig N Dine,3.3,", , View Gallery",,₹500 for two people (approx.),"Dig N Dine
3.3
11
Dining Ratings
4.0
9
Delivery Ratings
North Indian, Fast Food, Wraps, Pizza, Beverages, Sandwich, Pasta, Burger
Plot 2, Jageshwari Residency, Maharajpura, Opposite BSF Colony, Deen Dayal Nagar, Gwalior
Open now
24 Hours (Today)
₹500 for two
+917770807071",https://www.zomato.com/gwalior/dig-n-dine-1-deen-dayal-nagar/info
Raj Cool Zone,3.9,", , View Gallery",,₹100 for two people (approx.),"Raj Cool Zone
3.9
20
Dining Ratings
4.3
80
Delivery Ratings
Desserts, Beverages
Sanatan Dharam Mandir Road, Naya Bazaar, Gwalior
Temporarily closed for delivery, will be back soon!
₹100 for two
+918305361439",https://www.zomato.com/gwalior/raj-cool-zone-naya-bazaar/info
Pizza By The Way,2.3,", , View Gallery",,₹500 for two people (approx.),"Pizza By The Way
2.3
16
Dining Ratings
3.9
2,626
Delivery Ratings
Pizza, Fast Food
98 B, Second Floor, Ajnam Sai Kripa, Patel Nagar, City Center, Gwalior
Closes in 1 hour 44 minutes
11am – 11pm (Today)
₹500 for two
+918817949992",https://www.zomato.com/gwalior/pizza-by-the-way-city-center/info
Golden Food,4.4,", , View Gallery",,₹300 for two people (approx.),"Golden Food
4.4
26
Dining Ratings
4.3
108
Delivery Ratings
Street Food, North Indian, Chinese, Beverages
Near Sanatan Dharm Mandir, Hospital Road, Lashkar, Gwalior
Closes in 1 hour 44 minutes
12noon – 11pm (Today)
₹300 for two
+919111200057",https://www.zomato.com/gwalior/golden-food-lashkar/info
Sri Dauji Misthan Bhandar,-,", , View Gallery",,₹100 for two people (approx.),"Sri Dauji Misthan Bhandar
-
2
Dining Ratings
4.3
1,142
Delivery Ratings
Mithai, Desserts, Street Food
Patanakar Bazar, Shinde Ki Chhawani, Gwalior
Closes in 44 minutes
7:30am – 10pm (Today)
₹100 for two
+918817613005",https://www.zomato.com/gwalior/sri-dauji-misthan-bhandar-shinde-ki-chhawani/info
Bamboo Restaurant,3.2,", , View Gallery",,₹600 for two people (approx.),"Bamboo Restaurant
3.2
154
Dining Ratings
4.2
371
Delivery Ratings
North Indian, Fast Food, Chinese, Desserts, Beverages
Opposite Bal Bhavan, Roop Singh Stadium Road, Lashkar, Gwalior
Closes in 1 hour 14 minutes
11am – 10:30pm (Today)
₹600 for two
+919301568517",https://www.zomato.com/gwalior/bamboo-restaurant-lashkar/info
Bhukha,3.1,", , View Gallery",,₹400 for two people (approx.),"Bhukha
3.1
161
Dining Ratings
3.8
7,493
Delivery Ratings
North Indian, Chinese, Thai, Cuisine Varies, Shake
Near Gwalior Junction Railway Station, Thatipur, Gwalior
Open now
12midnight – 1am, 9am – 11:45pm (Today)
₹400 for two
+919644424447
+1 more",https://www.zomato.com/gwalior/bhukha-thatipur/info
City Darbar Restaurant,4.0,", , View Gallery",,₹700 for two people (approx.),"City Darbar Restaurant
4.0
9
Dining Ratings
3.8
92
Delivery Ratings
North Indian, Chinese, Fast Food, Sandwich, Desserts, Beverages
Opposite Girajji Mandir, Old High Court Road, Lashkar, Gwalior
Closes in 1 hour 43 minutes
11am – 11pm (Today)
₹700 for two
+919303978754
+1 more",https://www.zomato.com/gwalior/city-darbar-restaurant-lashkar/info
Coco Anna,-,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"Coco Anna
-
3
Dining Ratings
4.3
52
Delivery Ratings
Shake, Beverages, Fast Food
Khedapati Colony, Near Sai Baba Mandir, Shinde Ki Chhawani, Gwalior
Closes in 1 hour 13 minutes
3:30pm – 10:30pm (Today)
₹300 for two
+919713294494",https://www.zomato.com/gwalior/coco-anna-shinde-ki-chhawani/info
Foodz Inn,4.0,", , View Gallery",,₹500 for two people (approx.),"Foodz Inn
4.0
26
Dining Ratings
4.2
297
Delivery Ratings
North Indian, Chinese, Fast Food, South Indian, Desserts, Beverages, Shake, Ice Cream
Ganesh Complex, AG Office Road, Near Parimal Complex, Mahalgaon, Gwalior
Closes in 43 minutes
11am – 10pm (Today)
₹500 for two
+917514010632
+1 more",https://www.zomato.com/gwalior/foodz-inn-mahalgaon/info
Chicken Kraft,3.6,", , View Gallery",,₹700 for two people (approx.),"Chicken Kraft
3.6
12
Dining Ratings
3.9
5
Delivery Ratings
North Indian
A-1, Gandhi Nagar, Ralway Gate, Lohamandi, Gwalior
Closes in 1 hour 43 minutes
1pm – 11pm (Today)
₹700 for two
+918770165378",https://www.zomato.com/gwalior/chicken-kraft-lohamandi/info
Venky's Chicken Xperience,3.7,", , View Gallery",,₹400 for two people (approx.),"Venky's Chicken Xperience
3.7
13
Dining Ratings
3.6
170
Delivery Ratings
Biryani, Fast Food, North Indian, Burger, Beverages
F-79/A, Patel Nagar, Near Osho Dhyan Center, City Center, Gwalior
Closes in 1 hour 43 minutes
12noon – 11pm (Today)
₹400 for two
+919826370632
+1 more",https://www.zomato.com/gwalior/venkys-chicken-xperience-city-center/info
Desi Chinese Fast Food,3.4,", , View Gallery",,₹250 for two people (approx.),"Desi Chinese Fast Food
3.4
5
Dining Ratings
4.0
962
Delivery Ratings
Chinese, North Indian
Bansal Bhawan, Madhav Ganj, Gwalior
Open now
1pm – 12midnight (Today)
₹250 for two
+917987599691",https://www.zomato.com/gwalior/desi-chinese-fast-food-madhav-ganj/info
The Road Chef's,3.7,", , View Gallery",,₹300 for two people (approx.),"The Road Chef's
3.7
92
Dining Ratings
3.5
11.1K
Delivery Ratings
Chinese
Shop 41, Phoolbagh Chaupati, Lashkar, Gwalior
Closes in 1 hour 58 minutes
2:15pm – 11:15pm (Today)
₹300 for two
+919039418226
+1 more",https://www.zomato.com/gwalior/the-road-chefs-lashkar/info
The Gwalior Family Restaurant,3.2,", , View Gallery",,₹400 for two people (approx.),"The Gwalior Family Restaurant
3.2
4
Dining Ratings
3.9
12
Delivery Ratings
Chinese, North Indian, Sandwich, Fast Food, Shake, Beverages
Ground Floor, Ganesh Complex, Jhansi Road, Mahalgaon, Gwalior
Closes in 1 hour 43 minutes
11am – 11pm (Today)
₹400 for two
+919981558101",https://www.zomato.com/gwalior/the-gwalior-family-restaurant-mahalgaon/info
Ambersariya,3.9,", , View Gallery",,₹300 for two people (approx.),"Ambersariya
3.9
13
Dining Ratings
4.0
18
Delivery Ratings
North Indian
Gopalpura, Gandhi Road, Thatipur, Gwalior
Closes in 1 hour 43 minutes
11am – 11pm (Today)
₹300 for two
+919977836358",https://www.zomato.com/gwalior/ambersariya-thatipur/info
Pizza Hub,3.7,", , View Gallery",,₹400 for two people (approx.),"Pizza Hub
3.7
150
Dining Ratings
4.1
3,507
Delivery Ratings
Pizza, Burger, Fast Food, Chinese, South Indian, Beverages
Maharaja Complex, Near PNB ATM, Deen Dayal Nagar, Gwalior
Closes in 1 hour 43 minutes
12noon – 11pm (Today)
₹400 for two
+917566959180",https://www.zomato.com/gwalior/pizza-hub-deen-dayal-nagar/info
The Midnight Cafe & Restro,3.8,", , View Gallery",,₹500 for two people (approx.),"The Midnight Cafe & Restro
3.8
4
Dining Ratings
4.0
20
Delivery Ratings
Fast Food, North Indian, Chinese, Beverages
Ganesh Complex, Jhansi Road, Near Chetakpuri Petrol Pump, Mahalgaon, Gwalior
Closes in 1 hour 13 minutes
12noon – 10:30pm (Today)
₹500 for two
+919575259344",https://www.zomato.com/gwalior/the-midnight-cafe-restro-1-mahalgaon/info
Hello Hunger Foods,3.9,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"Hello Hunger Foods
3.9
35
Dining Ratings
4.0
427
Delivery Ratings
North Indian, Fast Food, Street Food, Sandwich, Burger, Beverages
G-27, Gandhi Nagar, Shinde Ki Chhawani, Gwalior
Open now
8am – 12midnight (Today)
₹300 for two
+917415599132",https://www.zomato.com/gwalior/hello-hunger-foods-shinde-ki-chhawani/info
Bhopat Nasir Seekh Kebab Center,3.8,", , View Gallery",,₹350 for two people (approx.),"Bhopat Nasir Seekh Kebab Center
3.8
51
Dining Ratings
3.6
304
Delivery Ratings
North Indian
Kartar Singh Colony, Idgah, Lashkar, Gwalior
Open now
10am – 11:30pm (Today)
₹350 for two
+917566373388
+1 more",https://www.zomato.com/gwalior/bhopat-nasir-seekh-kebab-center-lashkar/info
Masala Kraft,3.8,", , View Gallery",,₹800 for two people (approx.),"Masala Kraft
3.8
37
Dining Ratings
3.8
280
Delivery Ratings
North Indian, Chinese, Fast Food, Beverages, Desserts
Near Phool Bagh Circle, Lashkar, Gwalior
Open now
11:30am – 11:30pm (Today)
₹800 for two
+918085101251",https://www.zomato.com/gwalior/masala-kraft-lashkar/info
Angel Dhaba,3.6,", , View Gallery",,₹200 for two people (approx.),"Angel Dhaba
3.6
20
Dining Ratings
3.8
453
Delivery Ratings
North Indian
Gopalpura, Thatipur, Gwalior
Closes in 1 hour 42 minutes
11am – 11pm (Today)
₹200 for two
+918305450960",https://www.zomato.com/gwalior/angel-dhaba-thatipur/info
Sector-17 Restaurant,4.0,", , View Gallery",,₹550 for two people (approx.),"Sector-17 Restaurant
4.0
7
Dining Ratings
4.3
45
Delivery Ratings
Fast Food, North Indian, Chinese, Mughlai, Seafood, South Indian, Biryani, Beverages
Shop 07, New Collectrate Road, Near Vaishya & Mukerji Fuelling Station, Model Town, Gwalior
Closes in 57 minutes
11am – 10:15pm (Today)
₹550 for two
+918349491717",https://www.zomato.com/gwalior/sector-17-restaurant-model-town/info
The Veg Factory,3.9,", , View Gallery",,₹200 for two people (approx.),"The Veg Factory
3.9
21
Dining Ratings
4.2
34
Delivery Ratings
Chinese, Street Food, Sandwich, Pizza, Burger, Rolls, North Indian, Shake
31 A, Patal Nagar, City Center, Gwalior
Closes in 42 minutes
11:30am – 10pm (Today)
₹200 for two
+918871756105",https://www.zomato.com/gwalior/the-veg-factory-city-center/info
Sankalp,3.7,", , View Gallery",,₹400 for two people (approx.),"Sankalp
3.7
9
Dining Ratings
-
0
Delivery Ratings
North Indian, South Indian, Street Food
Food Court, DB City Mall, Defence Colony, Gandhi Nagar Road, Birla Nagar, Gwalior
Closes in 1 hour 42 minutes
11am – 11pm (Today)
₹400 for two
+919067285139",https://www.zomato.com/gwalior/sankalp-birla-nagar/info
Anil Family Restaurant,3.8,", , View Gallery",,₹300 for two people (approx.),"Anil Family Restaurant
3.8
44
Dining Ratings
4.2
440
Delivery Ratings
North Indian, Mughlai, Biryani, Chinese, Fast Food
Silver Guest House, Jail Road, Bahodapur, Vinay Nagar, Gwalior
Temporarily closed for delivery, will be back soon!
₹300 for two
+919926229114",https://www.zomato.com/gwalior/anil-family-restaurant-vinay-nagar/info
Spice 13,3.6,", , View Gallery",,₹300 for two people (approx.),"Spice 13
3.6
31
Dining Ratings
4.6
278
Delivery Ratings
North Indian
Roxy Cinema Building, Kampoo Road, Lashkar, Gwalior
Closes in 42 minutes
11am – 10pm (Today)
₹300 for two
+919285211313",https://www.zomato.com/gwalior/spice-13-lashkar/info
Chinese Rasoi & Pizza Station,3.8,", , View Gallery",,₹500 for two people (approx.),"Chinese Rasoi & Pizza Station
3.8
13
Dining Ratings
3.9
92
Delivery Ratings
Pizza, Sandwich, Chinese, Fast Food, Beverages
0-15/16, Banshi Plaza, Patel Nagar, Grean Garden, City Center, Gwalior
Closes in 1 hour 12 minutes
11:45am – 10:30pm (Today)
₹500 for two
+919993834348",https://www.zomato.com/gwalior/chinese-rasoi-pizza-station-city-center/info
Perk & Puff,3.8,", , View Gallery",,₹350 for two people (approx.),"Perk & Puff
3.8
192
Dining Ratings
3.8
4,200
Delivery Ratings
Fast Food, Pizza, Chinese, Sandwich, Desserts, Beverages
Labour Court Road, Lashkar, Gwalior
Closes in 1 hour 42 minutes
12noon – 11pm (Today)
₹350 for two
+917514098001
+1 more",https://www.zomato.com/gwalior/perk-puff-lashkar/info
Chef's Craft Cafe,3.3,", , View Gallery",,₹350 for two people (approx.),"Chef's Craft Cafe
3.3
10
Dining Ratings
3.7
184
Delivery Ratings
Pizza, Sandwich, Burger, Pasta, Fast Food, Street Food, Shake, Beverages
Hazira Choraha, Tansen Nagar, Near Birla Nagar, Gwalior
Closed
Opens tomorrow at 10:30am
₹350 for two
+918319186051",https://www.zomato.com/gwalior/chefs-craft-cafe-birla-nagar/info
Choice Family Restaurant,3.9,", , View Gallery",,₹300 for two people (approx.),"Choice Family Restaurant
3.9
304
Dining Ratings
3.4
11.8K
Delivery Ratings
North Indian, Chinese, South Indian
Madhavrao Scindia Marg Mahadji Park, Jijwaji Club, Achleshwar Road Lashkar, Gwalior
Closes in 1 hour 41 minutes
8am – 11pm (Today)
₹300 for two
+919098165785",https://www.zomato.com/gwalior/choice-family-restaurant-lashkar/info
Bakers Villa,3.6,", , View Gallery",,₹200 for two people (approx.),"Bakers Villa
3.6
15
Dining Ratings
3.9
68
Delivery Ratings
Bakery, Desserts, Fast Food
Rajawat Complex, Old Railway Line, Adarsh Nagar, Deen Dayal Nagar, Gwalior
Closes in 1 hour 41 minutes
9am – 11pm (Today)
₹200 for two
+917692042211",https://www.zomato.com/gwalior/bakers-villa-1-deen-dayal-nagar/info
Taj Chicken Corner,3.9,", , View Gallery",,₹300 for two people (approx.),"Taj Chicken Corner
3.9
13
Dining Ratings
4.0
49
Delivery Ratings
North Indian, Mughlai
AB Road, Bahodapur, Vinay Nagar, Gwalior
Closes in 41 minutes
3pm – 10pm (Today)
₹300 for two
+919589741910",https://www.zomato.com/gwalior/taj-chicken-corner-vinay-nagar/info
Aayati Cafe,3.9,", , View Gallery",,₹200 for two people (approx.),"Aayati Cafe
3.9
5
Dining Ratings
3.5
6
Delivery Ratings
Chinese, Street Food, Fast Food
Aditya Puram, Near Greenwood Public School, Deen Dayal Nagar, Gwalior
Closes in 41 minutes
9am – 10pm (Today)
₹200 for two
+918109463737",https://www.zomato.com/gwalior/aayati-cafe-2-deen-dayal-nagar/info
Hotel Yugantar,4.0,", , View Gallery",,₹650 for two people (approx.),"Hotel Yugantar
4.0
10
Dining Ratings
-
2
Delivery Ratings
North Indian, Chinese, Mughlai, Beverages
Mata Wali Gali, Jail Road, Shinde Ki Chhawani, Gwalior
Closes in 1 hour 26 minutes
11am – 10:45pm (Today)
₹650 for two
+918458919722",https://www.zomato.com/gwalior/hotel-yugantar-1-shinde-ki-chhawani/info
25x7 Thali,3.2,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"25x7 Thali
3.2
4
Dining Ratings
3.7
40
Delivery Ratings
North Indian
Shop 2, Tansen Road, Padav, Near Kalari, City Center, Gwalior
Open now
11:30am – 11:45pm (Today)
₹300 for two
+917974520092",https://www.zomato.com/gwalior/25x7-thali-city-center/info
The Food Khor,3.8,", , ₹200 for two people (approx.)",,₹200 for two people (approx.),"The Food Khor
3.8
15
Dining Ratings
4.0
19
Delivery Ratings
Fast Food, North Indian
Opposite Manas Bhawan, Phoolbagh, Lashkar, Gwalior
Temporarily closed for delivery, will be back soon!
₹200 for two
+918819978080
+1 more",https://www.zomato.com/gwalior/the-food-khor-lashkar/info
Mini Cafe,3.7,", , View Gallery",,₹300 for two people (approx.),"Mini Cafe
3.7
6
Dining Ratings
4.0
42
Delivery Ratings
Fast Food
C-29, Mohni Apartment, Govindpuri, Near Sparsh Health Care, City Center, Gwalior
Open now
12midnight – 7:30am, 8:30pm – 12midnight (Today)
₹300 for two
+917047812872",https://www.zomato.com/gwalior/mini-cafe-city-center/info
Tommatinos,3.8,", , View Gallery",,₹400 for two people (approx.),"Tommatinos
3.8
28
Dining Ratings
3.8
428
Delivery Ratings
Pizza, Italian, Burger, Sandwich, Fast Food
99 A, Laxmi Bai Colony, Padav, Shinde Ki Chhawani, Gwalior
Open now
11:30am – 11:45pm (Today)
₹400 for two
+917974733371",https://www.zomato.com/gwalior/tommatinos-shinde-ki-chhawani/info
Grains 'n' Beans,3.5,", , View Gallery",,₹300 for two people (approx.),"Grains 'n' Beans
3.5
19
Dining Ratings
4.3
582
Delivery Ratings
Bakery, Fast Food
Shop 36, Maharaja Complex, Deen Dayal Nagar, Gwalior
Closed
Opens tomorrow at 11am
₹300 for two
+918602627902",https://www.zomato.com/gwalior/grains-n-beans-deen-dayal-nagar/info
Vadilal,3.6,", , View Gallery",,₹300 for two people (approx.),"Vadilal
3.6
26
Dining Ratings
4.2
349
Delivery Ratings
Fast Food, Ice Cream, Desserts
Empire Building, City Center, Gwalior
Closes in 1 hour 11 minutes
1pm – 10:30pm (Today)
₹300 for two
+917514043271
+1 more",https://www.zomato.com/gwalior/vadilal-city-center/info
The Pizza Maxx,3.2,", , View Gallery",,₹500 for two people (approx.),"The Pizza Maxx
3.2
4
Dining Ratings
4.3
213
Delivery Ratings
Pizza, Fast Food, Italian, Shake, Beverages
Near Kajal Talkies, Phalka Bazar, Lashkar, Gwalior
Closes in 1 hour 11 minutes
1pm – 10:30pm (Today)
₹500 for two
+918839996576",https://www.zomato.com/gwalior/the-pizza-maxx-lashkar/info
The Triangle Restaurant & Cafe,3.4,", , View Gallery",,₹800 for two people (approx.),"The Triangle Restaurant & Cafe
3.4
5
Dining Ratings
-
0
Delivery Ratings
North Indian, Chinese, Beverages, Biryani, Desserts
Meri Gold Club House, DB City Centre, Thatipur, Gwalior
Closes in 1 hour 41 minutes
12noon – 11pm (Today)
₹800 for two
+919009490385",https://www.zomato.com/gwalior/the-triangle-restaurant-cafe-4-thatipur/info
Mid City Café,4.1,", , View Gallery",,₹250 for two people (approx.),"Mid City Café
4.1
6
Dining Ratings
4.0
81
Delivery Ratings
Beverages, Fast Food, Street Food, Italian, Sandwich, Pizza, Shake
Gola Ka Mandir, Opposite Telephone Exchange, Prasad Nagar, Gwalior
Closes in 1 hour 40 minutes
11am – 11pm (Today)
₹250 for two
+918085171561",https://www.zomato.com/gwalior/mid-city-caf%C3%A9-1-prasad-nagar/info
Cafe Connection,-,", , View Gallery",,₹300 for two people (approx.),"Cafe Connection
-
2
Dining Ratings
3.4
37
Delivery Ratings
Fast Food, Chinese, Desserts, Beverages, Sichuan
Near Janaktal, Bahodapur, Vinay Nagar, Gwalior
Closes in 40 minutes
12noon – 10pm (Today)
₹300 for two
+919039402004",https://www.zomato.com/gwalior/cafe-connection-1-vinay-nagar/info
Khaalo,3.4,", , View Gallery",,₹250 for two people (approx.),"Khaalo
3.4
4
Dining Ratings
4.0
29
Delivery Ratings
Bakery, Fast Food
Near SBI Bank, Kampoo Road, Lashkar, Gwalior
Closes in 55 minutes
5pm – 10:15pm (Today)
₹250 for two
+918450864809",https://www.zomato.com/gwalior/khaalo-lashkar/info
Snacks And Cool Point,3.9,", , View Gallery",,₹200 for two people (approx.),"Snacks And Cool Point
3.9
11
Dining Ratings
4.3
2,852
Delivery Ratings
Fast Food
92, Near Mangal Bhawan, Deen Dayal Nagar, Gwalior
Closes in 1 hour 40 minutes
11am – 11pm (Today)
₹200 for two
+917477056007",https://www.zomato.com/gwalior/snacks-and-cool-point-deen-dayal-nagar/info
Dill's Chawla Restaurant - Since 1998,3.2,", , View Gallery",,₹400 for two people (approx.),"Dill's Chawla Restaurant - Since 1998
3.2
85
Dining Ratings
4.0
2,889
Delivery Ratings
North Indian, Mughlai, Chinese, Fast Food
1/2, Centre Point Complex, Phoolbagh, Lashkar, Gwalior
Open now
11:30am – 11:30pm (Today)
₹400 for two
+917512336551",https://www.zomato.com/gwalior/dills-chawla-restaurant-since-1998-lashkar/info
Gwalior Darbar,3.4,", , View Gallery",,₹250 for two people (approx.),"Gwalior Darbar
3.4
6
Dining Ratings
3.4
16
Delivery Ratings
North Indian, Chinese, Street Food
Shop 4, Maharani Laxmi Bai Colony, Near Honda Showroom, Lashkar, Gwalior
Closes in 1 hour 40 minutes
11am – 11pm (Today)
₹250 for two
+918103300918",https://www.zomato.com/gwalior/gwalior-darbar-lashkar/info
Happy Da Pizza & Patties Cafe,3.6,", , ₹350 for two people (approx.)",,₹350 for two people (approx.),"Happy Da Pizza & Patties Cafe
3.6
17
Dining Ratings
3.4
107
Delivery Ratings
Pizza, Fast Food, Street Food
Kishan Bagh, Kreasher Road, Near SBI kulaith Branch, Anand Nagar, Gwalior
Closes in 40 minutes
10am – 10pm (Today)
₹350 for two
+917247621082",https://www.zomato.com/gwalior/happy-da-pizza-patties-cafe-anand-nagar/info
Braj Ki Rasoi & Restaurant,4.0,", , View Gallery",,₹350 for two people (approx.),"Braj Ki Rasoi & Restaurant
4.0
36
Dining Ratings
3.1
913
Delivery Ratings
North Indian
Laxman Pura, Tansen Road, Shinde Ki Chhawani, Gwalior
Closes in 1 hour 10 minutes
11:15am – 10:30pm (Today)
₹350 for two
+916261534509",https://www.zomato.com/gwalior/braj-ki-rasoi-restaurant-shinde-ki-chhawani/info
F & C Bakery,3.2,", , View Gallery",,₹350 for two people (approx.),"F & C Bakery
3.2
7
Dining Ratings
3.5
510
Delivery Ratings
Bakery, Fast Food, Sandwich, Pizza, North Indian
Shop 6, Near Aashiyana Complex, Lashkar, Gwalior
Closes in 1 hour 40 minutes
12noon – 11pm (Today)
₹350 for two
+917000284565",https://www.zomato.com/gwalior/f-c-bakery-lashkar/info
Hot Pizza,3.5,", , View Gallery",,₹300 for two people (approx.),"Hot Pizza
3.5
9
Dining Ratings
3.9
416
Delivery Ratings
Pizza, Fast Food
Kabir Colony, Sanjay Nagar, Near Kabir Park, Thatipur, Gwalior
Open now
8am – 11:30pm (Today)
₹300 for two
+919039663889",https://www.zomato.com/gwalior/hot-pizza-thatipur/info
Kaptain's Kitchen,4.1,", , View Gallery",,₹300 for two people (approx.),"Kaptain's Kitchen
4.1
43
Dining Ratings
4.1
936
Delivery Ratings
Fast Food, Chinese
Garam Sadak, Near Sabji Mandi, Morar, Gwalior
Closes in 1 hour 10 minutes
11am – 10:30pm (Today)
₹300 for two
+918319191677",https://www.zomato.com/gwalior/kaptains-kitchen-morar/info
Cantine Bistro,3.5,", , View Gallery",,₹250 for two people (approx.),"Cantine Bistro
3.5
4
Dining Ratings
4.0
5
Delivery Ratings
Coffee, Shake, Burger, Street Food, Pasta, Sandwich, Pizza, Fast Food
FL-397, Deen Dayal Nagar, Gwalior
Closed
Opens tomorrow at 12:15pm
₹250 for two
+917987552869",https://www.zomato.com/gwalior/cantine-bistro-deen-dayal-nagar/info
K Cube Restaurant,3.7,", , View Gallery",,₹300 for two people (approx.),"K Cube Restaurant
3.7
16
Dining Ratings
3.8
78
Delivery Ratings
South Indian, Chinese, North Indian, Street Food, Fast Food, Beverages
Shri Gangadas Ki Badi Shala, Laxmibai Colony, Padav, Lashkar, Gwalior
Open now
11am – 12midnight (Today)
₹300 for two
+919713344363",https://www.zomato.com/gwalior/k-cube-restaurant-lashkar/info
